Source Data for Figure 6 
red:
Index	Real(z_j)	Imag(z_j)
15	-1.499124661078	-0.071329849178	1e-12	-2.79	-1.22	0.35	1.92	3.49	1.0
16	-1.499030724545	0.081602732169	1e-12	-3.02	-1.45	0.13	1.70	3.27	1.0
17	-1.499030724545	-0.081602732169	1e-12	-0.13	1.45	3.02	4.59	6.16	1.0
18	-1.498950502407	0.091952693540	1e-12	0.61	2.18	3.75	5.32	6.89	1.0
19	-1.498950502407	-0.091952693540	1e-12	2.53	4.10	5.67	7.24	8.81	1.0
20	-1.498881624162	0.102394318961	1e-12	-2.03	-0.46	1.11	2.68	4.25	1.0
21	-1.498881624162	-0.102394318961	1e-12	-1.11	0.46	2.03	3.61	5.18	1.0
22	-1.498821967495	0.112941674848	1e-12	1.53	3.10	4.67	6.24	7.81	1.0
23	-1.498821967495	-0.112941674848	1e-12	1.61	3.18	4.75	6.32	7.90	1.0
24	-1.498769723486	0.123608744783	1e-12	-2.13	-0.56	1.01	2.59	4.16	1.0
25	-1.498769723486	-0.123608744783	1e-12	-1.01	0.56	2.13	3.70	5.27	1.0
26	-1.498723364861	0.134409764676	1e-12	0.49	2.06	3.63	5.20	6.77	1.0
27	-1.498723364861	-0.134409764676	1e-12	2.65	4.22	5.79	7.36	8.94	1.0
28	-1.498681620170	-0.145359467945	1e-12	0.04	1.62	3.19	4.76	6.33	1.0
29	-1.498681620170	0.145359467945	1e-12	3.10	4.67	6.24	7.81	9.38	1.0
30	-1.498643427402	-0.156473301820	1e-12	-2.55	-0.98	0.59	2.16	3.73	1.0
31	-1.498643427402	0.156473301820	1e-12	-0.59	0.98	2.55	4.12	5.69	1.0
32	-1.498607890702	-0.167767617858	1e-12	1.14	2.71	4.28	5.86	7.43	1.0
33	-1.498607890702	0.167767617858	1e-12	2.00	3.57	5.14	6.71	8.28	1.0
34	-1.498574252042	-0.179259858798	1e-12	-1.71	-0.14	1.43	3.00	4.58	1.0
35	-1.498574252042	0.179259858798	1e-12	-1.43	0.14	1.71	3.28	4.85	1.0
36	-1.498541855015	-0.190968750517	1e-12	2.28	3.86	5.43	7.00	8.57	1.0
37	-1.498541855015	0.190968750517	1e-12	0.86	2.43	4.00	5.57	7.14	1.0
38	-1.498510123234	-0.202914506180	1e-12	-2.87	-1.30	0.27	1.84	3.41	1.0
39	-1.498510123234	0.202914506180	1e-12	-0.27	1.30	2.87	4.44	6.01	1.0
40	-1.498478538264	-0.215119055622	1e-12	-2.81	-1.24	0.33	1.90	3.48	1.0
41	-1.498478538264	0.215119055622	1e-12	-0.33	1.24	2.81	4.38	5.95	1.0
42	-1.498446620333	-0.227606305494	1e-12	2.19	3.76	5.33	6.90	8.48	1.0
43	-1.498446620333	0.227606305494	1e-12	0.95	2.52	4.09	5.66	7.23	1.0
